genres,main_genre,secondary_genre,hours_played
beatboxing,,,1.5111616666666700
elephant 6,,,1.4596402777777800
impressionism,,,1.4385230555555600
chill r&b,,,1.4319202777777800
ethiopian pop,,,1.4170369444444400
latin house,,,1.4168180555555600
brazilian boogie,,,1.4001452777777800
contemporary jazz,,,1.3896291666666700
instrumental post-rock,,,1.3800880555555600
irish hip hop,,,1.3742780555555600
chillstep,,,1.3640494444444400
deep disco house,,,1.3626091666666700
panpipe,,,1.349196388888890
romanian folk,,,1.349196388888890
jazz harp,,,1.3473291666666700
modern dream pop,,,1.3461333333333300
jazz house,,,1.3400611111111100
purple sound,,,1.3161652777777800
norwegian pop,,,1.309663611111110
indie jazz,,,1.3079644444444400
psicodelia brasileira,,,1.3069161111111100
bass music,,,1.3050669444444400
cool jazz,,,1.3042488888888900
reggaeton colombiano,,,1.302908888888890
modern indie folk,,,1.2938777777777800
christian lo-fi,,,1.2812366666666700
anime,,,1.2706366666666700
german pop,,,1.2474391666666700
australian house,,,1.242388888888890
australian alternative pop,,,1.2394841666666700
electric bass,,,1.2344805555555600
contemporary classical,,,1.2332488888888900
show tunes,,,1.2327191666666700
modern alternative pop,,,1.2326633333333300
classic mandopop,,,1.2289208333333300
c-pop,,,1.2289208333333300
drone,,,1.2244463888888900
deathstep,,,1.2139147222222200
danish electronic,,,1.1969966666666700
uk funky,,,1.1938355555555600
vocal house,,,1.1932063888888900
nwobhm,,,1.1854722222222200
minimalism,,,1.1819730555555600
background jazz,,,1.1757772222222200
riddim dubstep,,,1.1677633333333300
old school dancehall,,,1.1621697222222200
fourth world,,,1.152663611111110
folktronica,,,1.152063611111110
chill abstract hip hop,,,1.1453275
american post-rock,,,1.144926388888890
raw techno,,,1.1325975
dmv rap,,,1.1193716666666700
icelandic classical,,,1.1128547222222200
jazz trio,,,1.1122455555555600
uk contemporary jazz,,,1.1107016666666700
modern indie pop,,,1.1019705555555600
american contemporary classical,,,1.1011008333333300
electro latino,,,1.09931
post-teen pop,,,1.0954083333333300
drift phonk,,,1.0943991666666700
italian soundtrack,,,1.0904058333333300
latin tech house,,,1.0810636111111100
vancouver indie,,,1.078076388888890
bisaya rap,,,1.0733158333333300
musical advocacy,,,1.0721802777777800
acoustic cover,,,1.0715419444444400
west coast reggae,,,1.0579241666666700
ambient worship,,,1.05406
chill dream pop,,,1.0533397222222200
british indie rock,,,1.050105
neo classical metal,,,1.0354725
stomp and flutter,,,1.0322205555555600
classic swedish pop,,,1.0296558333333300
freak folk,,,1.0182022222222200
filmi,,,1.0176827777777800
phonk,,,1.0155819444444400
ccm,,,1.0118594444444400
toronto rap,,,1.0115188888888900
nordic house,,,1.0020991666666700
gospel soul,,,1.0013711111111100
ann arbor indie,,,0.9790694444444440
quebec indie,,,0.9644475
kawaii future bass,,,0.9593138888888890
dakke dak,,,0.953625
funk ostentacao,,,0.9510208333333330
funk carioca,,,0.9510208333333330
funk paulista,,,0.9510208333333330
progressive trance house,,,0.9450844444444440
progressive post-hardcore,,,0.9435955555555560
palm desert scene,,,0.9383008333333330
stoner metal,,,0.9383008333333330
indie dream pop,,,0.9372513888888890
rhythm and blues,,,0.9370641666666670
broadway,,,0.9234233333333330
african-american classical,,,0.9221097222222220
north carolina roots,,,0.9213566666666670
australian hip hop,,,0.9045163888888890
new jersey indie,,,0.9031341666666670
metal guitar,,,0.8983911111111110
celtic rock,,,0.8949888888888890
bow pop,,,0.8933169444444440
post-minimalism,,,0.8882411111111110
chill pop,,,0.8819844444444450
jazz organ,,,0.8794563888888890
experimental,,,0.8740230555555560
etherpop,,,0.8718013888888890
j-rock,,,0.8697680555555560
swedish soul,,,0.8690344444444440
post-rock,,,0.8680761111111110
fingerstyle,,,0.8680094444444440
lo-fi house,,,0.8631736111111110
brill building pop,,,0.8613072222222220
reparto,,,0.8582063888888890
calming instrumental,,,0.8541530555555560
danish hip hop,,,0.8514511111111110
latin arena pop,,,0.8501541666666670
japanese teen pop,,,0.8482391666666670
afroswing,,,0.8470844444444440
liverpool indie,,,0.8457316666666670
lo-fi cover,,,0.8448736111111110
sleaze rock,,,0.8347847222222220
tontipop,,,0.8343241666666670
post-punk,,,0.8343016666666670
asmr,,,0.8274333333333330
dutch r&b,,,0.8256197222222220
french pop,,,0.8251466666666670
british jazz,,,0.8245522222222220
